07/21/2024,IC* INSTACART,249.80,,5620.11
07/21/2024,CINEPLEX 6111,32.76,,5370.31
07/19/2024,HAPPY BAKER DUNDONALD,25.15,,5337.55
07/18/2024,APPLE.COM/BILL,14.94,,5312.40
07/17/2024,Audible*RS2X37DF0,220.52,,5297.46
07/17/2024,NORMS BUTCHER BLOCK,11.41,,5076.94
07/17/2024,PORTER'S DINER,31.66,,5065.53
07/17/2024,CIRCLE K / IRVING # 2541-,81.05,,5033.87
07/16/2024,IVY'S DINER,56.93,,4952.82
07/16/2024,SCOTT'S NURSERY LTD.,25.29,,4895.89
07/15/2024,PAYMENT - THANK YOU,,2116.94,4870.60
07/15/2024,PAYMENT - THANK YOU,,3500.00,6987.54
07/15/2024,NUTRILAWN,86.25,,10487.54
07/14/2024,SOBEYS #849,146.66,,10401.29
07/14/2024,ATLANTIC SUPERSTORE FR,11.99,,10254.63
07/14/2024,HAPPY BAKER DUNDONALD,28.18,,10242.64
07/13/2024,CIRCLE K / IRVING #QPS 20,11.88,,10214.46
07/13/2024,ALCOOL NB LIQUOR  #045,14.99,,10202.58
07/13/2024,WOLASTOQ RESTAURANT,407.44,,10187.59
07/13/2024,BLUE CANOE RESTAURANT,96.91,,9780.15
07/11/2024,SOUTHPAW ANIMAL HOSPIT,53.91,,9683.24
07/11/2024,Amazon.ca Prime Member,11.49,,9629.33
07/10/2024,PETSMART #3199,50.56,,9617.84
07/10/2024,Ad free for PrimeVideo,3.44,,9567.28
07/10/2024,ATLANTIC SUPERSTORE FR,9.28,,9563.84
07/09/2024,GUARDIAN ROSS DRU 508241,30.77,,9554.56
07/09/2024,SHOPPERS DRUG MART #01,25.29,,9523.79
07/09/2024,THAI EXPRESS,64.62,,9498.50
07/09/2024,PUR & SIMPLE FREDERICTO,82.45,,9433.88
07/08/2024,HERE'S THE SCOOP,14.40,,9351.43
07/07/2024,SOBEYS #849,126.59,,9337.03
07/07/2024,ATLANTIC SUPERSTORE FR,47.10,,9210.44
07/05/2024,OMEGA RESTAURANT,51.14,,9163.34
07/05/2024,SH VENDING8003620026,1.75,,9112.20
07/05/2024,SH VENDING8003620026,2.25,,9110.45
07/05/2024,GUARDIAN ROSS DRU 508241,18.57,,9108.20
07/04/2024,SOBEYS #849,36.74,,9089.63
07/04/2024,ESSO COUCHE-TARD 2310,89.43,,9052.89
07/04/2024,ATLANTIC SUPERSTORE FR,11.90,,8963.46
07/04/2024,Amazon Channels,8.04,,8951.56
07/03/2024,MONTANAS #3043,112.37,,8943.52
07/02/2024,SOUTHPAW ANIMAL HOSPIT,202.76,,8831.15
07/02/2024,PUR & SIMPLE FREDERICTO,62.42,,8628.39
07/02/2024,SHOPPERS DRUG MART #01,64.15,,8565.97
07/01/2024,Amazon Channels,11.49,,8501.82
06/30/2024,APPLE.COM/BILL,12.64,,8490.33
06/30/2024,SOBEYS #849,171.15,,8477.69
06/29/2024,PORTER'S DINER,75.14,,8306.54
06/29/2024,ATLANTIC SUPERSTORE FR,43.77,,8231.40
06/29/2024,DIPLOMAT RESTAURANT,110.00,,8187.63
06/29/2024,LAWTONS #117,120.36,,8077.63
06/28/2024,SOUTHPAW ANIMAL HOSPIT,370.88,,7957.27
06/27/2024,HEAD SHOPPE,181.67,,7586.39
06/27/2024,THAI EXPRESS,63.62,,7404.72
06/26/2024,NETFLIX.COM,18.63,,7341.10
06/26/2024,SKIPTHEDISHES,94.21,,7322.47
06/26/2024,HERE'S THE SCOOP,14.16,,7228.26
06/25/2024,MASSAGE EXPERTS,48.49,,7214.10
06/25/2024,BLACKS            QPS,63.20,,7165.61
06/24/2024,THE HOME DEPOT #7233,11.71,,7102.41
06/21/2024,NORGE CLEANERS,18.98,,7090.70
